epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.2231451696200081,0.9060389352403655,0.14639919508242644,0.9340222575516693,69.06269264221191
2,0.10880193655905646,0.9586809694080254,0.08689856936115718,0.9721780604133545,33.097458839416504
3,0.06446357095376527,0.9767580452920143,0.06964779458051645,0.9737678855325914,32.66167593002319
4,0.05283518484950859,0.9811283273738578,0.07051612446247489,0.9793322734499205,32.040849447250366
5,0.04130201886530505,0.9859952324195471,0.04231951962593818,0.9841017488076311,31.989112615585327
6,0.027530904648027037,0.9904648390941597,0.045052793427756935,0.985691573926868,33.01539993286133
7,0.03438825143179621,0.987087802940008,0.03922705309663933,0.9880763116057234,31.9166841506958
8,0.03205945610668529,0.9890742947953913,0.026311317325491215,0.9904610492845787,32.79186272621155
9,0.01900676692760874,0.9940405244338498,0.03193336132978976,0.9920508744038156,32.83776068687439
10,0.011446457537850407,0.9954310687326182,0.04189792588288009,0.9936406995230525,32.05525779724121
11,0.01854404365403998,0.9936432260627731,0.038094965881699125,0.9920508744038156,32.162062644958496
12,0.005020990986002594,0.9986094557012316,0.027702194432741318,0.9968203497615262,31.96788763999939
13,0.006710189325733236,0.9969209376241558,0.031008250320653043,0.994435612082671,32.1791615486145
14,0.004765736456375484,0.9985101311084624,0.034572577029200115,0.994435612082671,31.972930908203125
15,0.031247619171058897,0.9919547079856973,0.02188472926693662,0.9928457869634341,32.61797571182251
16,0.007019229209584095,0.9978148589590783,0.026609991492025423,0.9896661367249603,32.4012017250061
17,0.007014430653650423,0.9980135081446166,0.022414349596606886,0.9952305246422893,33.501709938049316
18,0.002726936024386219,0.9991060786650775,0.023110502740097662,0.9952305246422893,32.303802728652954
19,0.003701526896345611,0.9989074294795391,0.022671164011687117,0.9968203497615262,34.61573338508606
20,0.0027339825750820165,0.9991060786650775,0.022735845706971965,0.9960254372019078,35.18587779998779
