epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.20581055860885042,0.9042510925705205,0.16041484749942592,0.9364069952305246,33.35778737068176
2,0.1124277768843838,0.955502582439412,0.10240713227392191,0.9594594594594594,33.70044684410095
3,0.0732608543724461,0.9732816845450933,0.0802912267905161,0.9674085850556439,35.387447118759155
4,0.04373213021402137,0.9848033373063171,0.047297117369921676,0.9833068362480127,34.09413170814514
5,0.03337546977531616,0.9880810488676997,0.06375693510892091,0.980127186009539,33.47944116592407
6,0.037658980196910954,0.9856972586412396,0.0347617898841162,0.9825119236883942,33.14642333984375
7,0.027724231516255637,0.989471593166468,0.024293897054580134,0.9904610492845787,33.19608521461487
8,0.026633739601495097,0.9898688915375446,0.029663888254870673,0.9896661367249603,33.4745192527771
9,0.020204735803625994,0.9930472785061581,0.04788799972431838,0.9833068362480127,33.16932797431946
10,0.025301296537952336,0.9918553833929281,0.01920137638211345,0.9928457869634341,34.997597455978394
11,0.022428394659627614,0.9919547079856973,0.021833354494695822,0.9896661367249603,33.82751393318176
12,0.01568719434715533,0.9943384982121574,0.06467175744296258,0.980127186009539,33.563762187957764
13,0.045227514736130126,0.9861938816050854,0.030235912747065195,0.9912559618441972,33.43588376045227
14,0.012109468151364005,0.9964243146603099,0.025879188288234187,0.9904610492845787,33.60552525520325
15,0.007069901319290363,0.9973182359952324,0.05057254574570319,0.9864864864864865,33.238176584243774
16,0.01295390005343268,0.9955303933253874,0.016296984919251366,0.9960254372019078,33.613540172576904
17,0.005686097708986592,0.9980135081446166,0.019941584456883023,0.9936406995230525,33.20165467262268
18,0.005103931379514326,0.9984108065156932,0.011062699311600912,0.9968203497615262,33.987661600112915
19,0.0009866414927826794,0.9999006754072308,0.01299523731557314,0.9968203497615262,32.31122350692749
20,0.00422234809358135,0.9982121573301549,0.1484378056290866,0.9785373608903021,35.47460436820984
